[0/10][0/1272]  Loss_D: 1.8932	Loss_G: 6.2211	D(x): 0.6284	D(G(z)): 0.6694 / 0.0035
[5/10][1150/1272]	Loss_D: 0.9654	Loss_G: 1.1095	D(x): 0.5176	D(G(z)): 0.1186 / 0.3923
[5/10][1200/1272]	Loss_D: 0.6188	Loss_G: 3.6181	D(x): 0.8518	D(G(z)): 0.3333 / 0.0347
[5/10][1250/1272]	Loss_D: 0.4681	Loss_G: 2.6881	D(x): 0.8688	D(G(z)): 0.2552 / 0.0891
[6/10][0/1272]	Loss_D: 0.5340	Loss_G: 1.6237	D(x): 0.6797	D(G(z)): 0.0923 / 0.2381
[6/10][50/1272]	Loss_D: 0.8672	Loss_G: 5.1981	D(x): 0.9455	D(G(z)): 0.5071 / 0.0085
[6/10][100/1272]	Loss_D: 0.5749	Loss_G: 1.1494	D(x): 0.6820	D(G(z)): 0.1310 / 0.3560
[6/10][150/1272]	Loss_D: 0.6084	Loss_G: 1.6500	D(x): 0.6226	D(G(z)): 0.0611 / 0.2295
[6/10][200/1272]	Loss_D: 0.4669	Loss_G: 3.0575	D(x): 0.8459	D(G(z)): 0.2285 / 0.0621
[6/10][250/1272]	Loss_D: 1.6357	Loss_G: 5.6981	D(x): 0.9576	D(G(z)): 0.7291 / 0.0064
[6/10][300/1272]	Loss_D: 0.7562	Loss_G: 4.6533	D(x): 0.9288	D(G(z)): 0.4434 / 0.0134
[6/10][350/1272]	Loss_D: 0.8723	Loss_G: 1.1949	D(x): 0.5029	D(G(z)): 0.0641 / 0.3615
[6/10][400/1272]	Loss_D: 0.3904	Loss_G: 3.3931	D(x): 0.8871	D(G(z)): 0.2135 / 0.0482
[6/10][450/1272]	Loss_D: 0.3783	Loss_G: 2.7198	D(x): 0.8529	D(G(z)): 0.1772 / 0.0876
[6/10][500/1272]	Loss_D: 0.5887	Loss_G: 3.3657	D(x): 0.8833	D(G(z)): 0.3394 / 0.0465
[6/10][550/1272]	Loss_D: 0.5676	Loss_G: 3.6627	D(x): 0.8615	D(G(z)): 0.3087 / 0.0340
[6/10][600/1272]	Loss_D: 0.6435	Loss_G: 1.6235	D(x): 0.6431	D(G(z)): 0.1266 / 0.2378
[6/10][650/1272]	Loss_D: 0.4798	Loss_G: 2.4689	D(x): 0.7931	D(G(z)): 0.1880 / 0.1111
[6/10][700/1272]	Loss_D: 0.8056	Loss_G: 4.6993	D(x): 0.8755	D(G(z)): 0.4353 / 0.0151
[6/10][750/1272]	Loss_D: 0.9113	Loss_G: 4.1853	D(x): 0.8818	D(G(z)): 0.4845 / 0.0238
[6/10][800/1272]	Loss_D: 1.0834	Loss_G: 4.6035	D(x): 0.9582	D(G(z)): 0.5787 / 0.0162
[6/10][850/1272]	Loss_D: 0.4581	Loss_G: 2.6902	D(x): 0.7595	D(G(z)): 0.1316 / 0.0923
[6/10][900/1272]	Loss_D: 1.1672	Loss_G: 1.4510	D(x): 0.3961	D(G(z)): 0.0741 / 0.2967
[6/10][950/1272]	Loss_D: 0.5276	Loss_G: 3.0780	D(x): 0.8433	D(G(z)): 0.2613 / 0.0629
[6/10][1000/1272]	Loss_D: 0.4772	Loss_G: 2.7868	D(x): 0.8555	D(G(z)): 0.2408 / 0.0840
[6/10][1050/1272]	Loss_D: 0.3847	Loss_G: 2.8458	D(x): 0.8926	D(G(z)): 0.2180 / 0.0757
[6/10][1100/1272]	Loss_D: 0.4059	Loss_G: 2.4629	D(x): 0.7875	D(G(z)): 0.1290 / 0.1065
